




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (8340)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (expected)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (over/under)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (fold Enrichment)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (raw P-value)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (FDR)
killing of cells of other organism (GO:0031640)	87	11	35.23	-	.31	4.48E-05	1.91E-03
humoral immune response (GO:0006959)	386	47	156.31	-	.30	1.61E-19	4.55E-17
production of molecular mediator of immune response (GO:0002440)	141	17	57.10	-	.30	7.47E-08	5.36E-06
immunoglobulin production (GO:0002377)	138	16	55.88	-	.29	4.99E-08	3.71E-06
sensory perception of taste (GO:0050909)	69	8	27.94	-	.29	1.32E-04	5.06E-03
B cell mediated immunity (GO:0019724)	205	23	83.02	-	.28	9.56E-12	1.23E-09
immunoglobulin mediated immune response (GO:0016064)	201	21	81.40	-	.26	2.75E-12	3.81E-10
keratinization (GO:0031424)	227	22	91.92	-	.24	1.41E-14	2.39E-12
regulation of humoral immune response (GO:0002920)	142	13	57.50	-	.23	5.99E-10	6.15E-08
peptide cross-linking (GO:0018149)	102	9	41.31	-	.22	1.36E-07	9.52E-06
B cell receptor signaling pathway (GO:0050853)	129	10	52.24	-	.19	3.63E-10	3.88E-08
monocyte chemotaxis (GO:0002548)	42	3	17.01	-	.18	4.08E-04	1.38E-02
regulation of complement activation (GO:0030449)	118	8	47.78	-	.17	5.54E-10	5.76E-08
phagocytosis, recognition (GO:0006910)	106	7	42.92	-	.16	3.49E-09	3.19E-07
detection of stimulus involved in sensory perception (GO:0050906)	557	34	225.56	-	.15	2.19E-46	5.78E-43
cytolysis (GO:0019835)	34	2	13.77	-	.15	1.27E-03	3.69E-02
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	7	66.82	-	.10	7.31E-17	1.60E-14
sensory perception of chemical stimulus (GO:0007606)	543	23	219.89	-	.10	3.54E-53	1.40E-49
complement activation (GO:0006956)	177	6	71.68	-	.08	2.55E-19	7.08E-17
sensory perception of smell (GO:0007608)	468	15	189.52	-	.08	3.84E-50	1.21E-46
complement activation, classical pathway (GO:0006958)	161	5	65.20	-	.08	5.20E-18	1.28E-15
sensory perception of bitter taste (GO:0050913)	41	1	16.60	-	.06	1.95E-05	8.82E-04
detection of chemical stimulus (GO:0009593)	522	12	211.39	-	.06	9.01E-61	4.75E-57
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	14.58	-	 < 0.01	7.57E-06	3.77E-04
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	0	17.01	-	 < 0.01	1.03E-06	6.21E-05
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	178.58	-	 < 0.01	2.87E-66	2.27E-62
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	0	196.81	-	 < 0.01	4.26E-73	6.74E-69
opsonization (GO:0008228)	72	0	29.16	-	 < 0.01	2.86E-11	3.56E-09
